0500000US48297,48297,Live Oak County,2300
0500000US48299,48299,Llano County,3035
0500000US48301,48301,Loving County,8
0500000US48303,48303,Lubbock County,68546
0500000US48305,48305,Lynn County,1588
0500000US48307,48307,McCulloch County,2042
0500000US48309,48309,McLennan County,59747
0500000US48311,48311,McMullen County,88
0500000US48313,48313,Madison County,2960
0500000US48315,48315,Marion County,1948
0500000US48317,48317,Martin County,1465
0500000US48319,48319,Mason County,779
0500000US48321,48321,Matagorda County,9493
0500000US48323,48323,Maverick County,18211
0500000US48325,48325,Medina County,11739
0500000US48327,48327,Menard County,607
0500000US48329,48329,Midland County,39097
0500000US48331,48331,Milam County,6353
0500000US48333,48333,Mills County,1213
0500000US48335,48335,Mitchell County,1854
0500000US48337,48337,Montague County,4527
0500000US48339,48339,Montgomery County,129539
0500000US48341,48341,Moore County,7010
0500000US48343,48343,Morris County,2959
0500000US48345,48345,Motley County,298
0500000US48347,48347,Nacogdoches County,15202
0500000US48349,48349,Navarro County,12821
0500000US48351,48351,Newton County,3254
0500000US48353,48353,Nolan County,3747
0500000US48355,48355,Nueces County,88439
0500000US48357,48357,Ochiltree County,3321
0500000US48359,48359,Oldham County,653
0500000US48361,48361,Orange County,20445
0500000US48363,48363,Palo Pinto County,6881
0500000US48365,48365,Panola County,5823
0500000US48367,48367,Parker County,29639
0500000US48369,48369,Parmer County,3121
0500000US48371,48371,Pecos County,3823
0500000US48373,48373,Polk County,9530
0500000US48375,48375,Potter County,33657
0500000US48377,48377,Presidio County,2085
0500000US48379,48379,Rains County,2302
0500000US48381,48381,Randall County,30560
0500000US48383,48383,Reagan County,1016
0500000US48385,48385,Real County,638
0500000US48387,48387,Red River County,2694
0500000US48389,48389,Reeves County,3087
0500000US48391,48391,Refugio County,1733
0500000US48393,48393,Roberts County,259
0500000US48395,48395,Robertson County,4160
0500000US48397,48397,Rockwall County,23682
0500000US48399,48399,Runnels County,2577
0500000US48401,48401,Rusk County,12273
0500000US48403,48403,Sabine County,2034
0500000US48405,48405,San Augustine County,1857
0500000US48407,48407,San Jacinto County,6322
0500000US48409,48409,San Patricio County,18112
0500000US48411,48411,San Saba County,1251
0500000US48413,48413,Schleicher County,990
0500000US48415,48415,Scurry County,4294
0500000US48417,48417,Shackelford County,799
0500000US48419,48419,Shelby County,6817
0500000US48421,48421,Sherman County,928
0500000US48423,48423,Smith County,53985
0500000US48425,48425,Somervell County,2132
0500000US48427,48427,Starr County,20687
0500000US48429,48429,Stephens County,2205
0500000US48431,48431,Sterling County,378
0500000US48433,48433,Stonewall County,338
0500000US48435,48435,Sutton County,1208
0500000US48437,48437,Swisher County,2012
0500000US48439,48439,Tarrant County,512553
0500000US48441,48441,Taylor County,32380
0500000US48443,48443,Terrell County,139
0500000US48445,48445,Terry County,3315
0500000US48447,48447,Throckmorton County,336
0500000US48449,48449,Titus County,9692
0500000US48451,48451,Tom Green County,26267
0500000US48453,48453,Travis County,251393
0500000US48455,48455,Trinity County,3053
0500000US48457,48457,Tyler County,4303
0500000US48459,48459,Upshur County,9749
0500000US48461,48461,Upton County,933
0500000US48463,48463,Uvalde County,7583
0500000US48465,48465,Val Verde County,14410
0500000US48467,48467,Van Zandt County,12451
0500000US48469,48469,Victoria County,23262
0500000US48471,48471,Walker County,11023
0500000US48473,48473,Waller County,10607
0500000US48475,48475,Ward County,2985
0500000US48477,48477,Washington County,7424
0500000US48479,48479,Webb County,88905
0500000US48481,48481,Wharton County,10906
0500000US48483,48483,Wheeler County,1409
0500000US48485,48485,Wichita County,30218
0500000US48487,48487,Wilbarger County,3331
0500000US48489,48489,Willacy County,5782
0500000US48491,48491,Williamson County,124798
0500000US48493,48493,Wilson County,11292
0500000US48495,48495,Winkler County,2168
0500000US48497,48497,Wise County,15411
0500000US48499,48499,Wood County,8522
0500000US48501,48501,Yoakum County,2567
0500000US48503,48503,Young County,4439
0500000US48505,48505,Zapata County,4826
0500000US48507,48507,Zavala County,3686
